"doy","Prop_foraging_day","Quality_crop","Quality_nat","Prop_foraging_crop","Concentration_nectar","Concentration_pollen","Concentration_spray","Concentration.nest.mat","Concentration.leaf"
307,1,1,0,1,0,0,0,1.24533333333333e-13,0
308,1,1,0,1,0,0,0,1.20133333333333e-13,0
309,1,1,0,1,0,0,0,1.15466666666667e-13,0
310,1,1,0,1,0,0,0,1.12266666666667e-13,0
311,1,1,0,1,0,0,0,1.092e-13,0
312,1,1,0,1,0,0,0,1.05133333333333e-13,0
313,1,1,0,1,0,0,0,1.008e-13,0
314,1,1,0,1,0,0,0,9.71333333333333e-14,0
315,1,1,0,1,0,0,0,9.38666666666667e-14,0
316,1,1,0,1,0,0,0,9e-14,0
317,1,1,0,1,0,0,0,8.60666666666667e-14,0
318,1,1,0,1,0,0,0,8.19333333333333e-14,0
319,1,1,0,1,0,0,0,7.79333333333333e-14,0
320,1,1,0,1,0,0,0,7.28e-14,0
321,1,1,0,1,0,0,0,6.63933333333333e-14,0
322,1,1,0,1,0,0,0,6.092e-14,0
323,1,1,0,1,0,0,0,5.65333333333333e-14,0
324,1,1,0,1,0,0,0,5.28466666666667e-14,0
325,1,1,0,1,0,0,0,4.90733333333333e-14,0
326,1,1,0,1,0,0,0,4.49933333333333e-14,0
327,1,1,0,1,0,0,0,4.058e-14,0
328,1,1,0,1,0,0,0,3.65e-14,0
329,1,1,0,1,0,0,0,3.30333333333333e-14,0
330,1,1,0,1,0,0,0,3.05866666666667e-14,0
331,1,1,0,1,0,0,0,2.90866666666667e-14,0
332,1,1,0,1,0,0,0,2.76333333333333e-14,0
333,1,1,0,1,0,0,0,2.64533333333333e-14,0
334,1,1,0,1,0,0,0,2.53866666666667e-14,0
335,1,1,0,1,0,0,0,2.5e-14,0
336,1,1,0,1,0,0,0,2.42066666666667e-14,0
337,1,1,0,1,0,0,0,2.31e-14,0
338,1,1,0,1,0,0,0,2.262e-14,0
339,1,1,0,1,0,0,0,2.256e-14,0
340,1,1,0,1,0,0,0,2.254e-14,0
341,1,1,0,1,0,0,0,2.25733333333333e-14,0
342,1,1,0,1,0,0,0,2.26066666666667e-14,0
343,1,1,0,1,0,0,0,2.26133333333333e-14,0
344,1,1,0,1,0,0,0,2.214e-14,0
345,1,1,0,1,0,0,0,2.11e-14,0
346,1,1,0,1,0,0,0,1.98533333333333e-14,0
347,1,1,0,1,0,0,0,1.866e-14,0
348,1,1,0,1,0,0,0,1.746e-14,0
349,1,1,0,1,0,0,0,1.622e-14,0
350,1,1,0,1,0,0,0,1.526e-14,0
351,1,1,0,1,0,0,0,1.442e-14,0
352,1,1,0,1,0,0,0,1.364e-14,0
353,1,1,0,1,0,0,0,1.29733333333333e-14,0
354,1,1,0,1,0,0,0,1.24466666666667e-14,0
355,1,1,0,1,0,0,0,1.196e-14,0
356,1,1,0,1,0,0,0,1.14466666666667e-14,0
357,1,1,0,1,0,0,0,1.07866666666667e-14,0
358,1,1,0,1,0,0,0,1.00733333333333e-14,0
359,1,1,0,1,0,0,0,9.41333333333333e-15,0
360,1,1,0,1,0,0,0,8.82e-15,0
361,1,1,0,1,0,0,0,8.36666666666667e-15,0
362,1,1,0,1,0,0,0,8.06e-15,0
363,1,1,0,1,0,0,0,7.67333333333333e-15,0
364,1,1,0,1,0,0,0,7.22e-15,0
365,1,1,0,1,0,0,0,6.72e-15,0
