"doy","Prop_foraging_day","Quality_crop","Quality_nat","Prop_foraging_crop","Concentration_nectar","Concentration_pollen","Concentration_spray","Concentration.nest.mat","Concentration.leaf"
1,1,1,0,1,0,0,0,8.67333333333333e-16,0
2,1,1,0,1,0,0,0,7.58666666666667e-16,0
3,1,1,0,1,0,0,0,0,0
4,1,1,0,1,0,0,0,7.58666666666667e-16,0
5,1,1,0,1,0,0,0,0,0
6,1,1,0,1,0,0,0,0,0
7,1,1,0,1,0,0,0,6.86666666666667e-16,0
8,1,1,0,1,0,0,0,5.78266666666667e-16,0
9,1,1,0,1,0,0,0,6.144e-16,0
10,1,1,0,1,0,0,0,8.67333333333333e-16,0
11,1,1,0,1,0,0,0,9.03333333333333e-16,0
12,1,1,0,1,0,0,0,8.67333333333333e-16,0
13,1,1,0,1,0,0,0,8.67333333333333e-16,0
14,1,1,0,1,0,0,0,7.58666666666667e-16,0
15,1,1,0,1,0,0,0,7.58666666666667e-16,0
16,1,1,0,1,0,0,0,9.03333333333333e-16,0
17,1,1,0,1,0,0,0,8.67333333333333e-16,0
18,1,1,0,1,0,0,0,9.03333333333333e-16,0
19,1,1,0,1,0,0,0,8.67333333333333e-16,0
20,1,1,0,1,0,0,0,0,0
21,1,1,0,1,0,0,0,0,0
22,1,1,0,1,0,0,0,0,0
23,1,1,0,1,0,0,0,0,0
24,1,1,0,1,0,0,0,0,0
25,1,1,0,1,0,0,0,0,0
26,1,1,0,1,0,0,0,5.78266666666667e-16,0
27,1,1,0,1,0,0,0,5.05933333333333e-16,0
28,1,1,0,1,0,0,0,0,0
29,1,1,0,1,0,0,0,0,0
30,1,1,0,1,0,0,0,0,0
31,1,1,0,1,0,0,0,7.95333333333333e-16,0
32,1,1,0,1,0,0,0,0,0
33,1,1,0,1,0,0,0,0,0
34,1,1,0,1,0,0,0,0,0
35,1,1,0,1,0,0,0,0,0
36,1,1,0,1,0,0,0,0,0
37,1,1,0,1,0,0,0,0,0
38,1,1,0,1,0,0,0,0,0
39,1,1,0,1,0,0,0,4.33666666666667e-16,0
40,1,1,0,1,0,0,0,2.53e-16,0
41,1,1,0,1,0,0,0,0,0
42,1,1,0,1,0,0,0,5.78266666666667e-16,0
43,1,1,0,1,0,0,0,0,0
44,1,1,0,1,0,0,0,3.614e-16,0
45,1,1,0,1,0,0,0,2.89133333333333e-16,0
46,1,1,0,1,0,0,0,3.25266666666667e-16,0
47,1,1,0,1,0,0,0,0,0
48,1,1,0,1,0,0,0,0,0
49,1,1,0,1,0,0,0,0,0
50,1,1,0,1,0,0,0,0,0
51,1,1,0,1,0,0,0,0,0
52,1,1,0,1,0,0,0,5.42133333333333e-16,0
53,1,1,0,1,0,0,0,5.78266666666667e-16,0
54,1,1,0,1,0,0,0,0,0
55,1,1,0,1,0,0,0,5.42133333333333e-16,0
56,1,1,0,1,0,0,0,4.698e-16,0
57,1,1,0,1,0,0,0,4.698e-16,0
58,1,1,0,1,0,0,0,2.53e-16,0
59,1,1,0,1,0,0,0,0,0
60,1,1,0,1,0,0,0,0,0
61,1,1,0,1,0,0,0,0,0
62,1,1,0,1,0,0,0,0,0
63,1,1,0,1,0,0,0,0,0
64,1,1,0,1,0,0,0,0,0
65,1,1,0,1,0,0,0,0,0
66,1,1,0,1,0,0,0,4.33666666666667e-16,0
67,1,1,0,1,0,0,0,0,0
68,1,1,0,1,0,0,0,0,0
69,1,1,0,1,0,0,0,3.614e-16,0
70,1,1,0,1,0,0,0,0,0
71,1,1,0,1,0,0,0,0,0
72,1,1,0,1,0,0,0,0,0
73,1,1,0,1,0,0,0,0,0
74,1,1,0,1,0,0,0,0,0
75,1,1,0,1,0,0,0,0,0
76,1,1,0,1,0,0,0,0,0
77,1,1,0,1,0,0,0,0,0
78,1,1,0,1,0,0,0,0,0
79,1,1,0,1,0,0,0,0,0
80,1,1,0,1,0,0,0,0,0
81,1,1,0,1,0,0,0,0,0
82,1,1,0,1,0,0,0,0,0
83,1,1,0,1,0,0,0,0,0
84,1,1,0,1,0,0,0,0,0
85,1,1,0,1,0,0,0,3.97533333333333e-16,0
86,1,1,0,1,0,0,0,0,0
87,1,1,0,1,0,0,0,0,0
88,1,1,0,1,0,0,0,0,0
89,1,1,0,1,0,0,0,0,0
90,1,1,0,1,0,0,0,0,0
91,1,1,0,1,0,0,0,0,0
92,1,1,0,1,0,0,0,0,0
93,1,1,0,1,0,0,0,0,0
94,1,1,0,1,0,0,0,0,0
95,1,1,0,1,0,0,0,0,0
96,1,1,0,1,0,0,0,0,0
97,1,1,0,1,0,0,0,0,0
98,1,1,0,1,0,0,0,0,0
99,1,1,0,1,0,0,0,0,0
100,1,1,0,1,0,0,0,0,0
101,1,1,0,1,0,0,0,0,0
102,1,1,0,1,0,0,0,0,0
103,1,1,0,1,0,0,0,0,0
104,1,1,0,1,0,0,0,0,0
105,1,1,0,1,0,0,0,0,0
106,1,1,0,1,0,0,0,0,0
107,1,1,0,1,0,0,0,0,0
108,1,1,0,1,0,0,0,0,0
109,1,1,0,1,0,0,0,0,0
110,1,1,0,1,0,0,0,0,0
111,1,1,0,1,0,0,0,0,0
112,1,1,0,1,0.5173,0.5173,2280,0.006232,0
113,1,1,0,1,0.309241639767135,0.309241639767135,0,0.01304,0
114,1,1,0,1,0.18486447277376,0.18486447277376,0,0.0154133333333333,0
115,1,1,0,1,0.110511874531692,0.110511874531692,0,0.0110466666666667,0
116,1,1,0,1,0.0660639344556744,0.0660639344556744,0,0.00831333333333333,0
117,1,1,0,1,0.0394929816751233,0.0394929816751233,0,0.005546,0
118,1,1,0,1,0.023608881524277,0.023608881524277,0,0.00331266666666667,0
119,1,1,0,1,0.0141133756729856,0.0141133756729856,0,0.00281733333333333,0
120,1,1,0,1,0.00843696778612729,0.00843696778612729,0,0.00279733333333333,0
121,1,1,0,1,0.00504361444586216,0.00504361444586216,0,0.00273133333333333,0
122,1,1,0,1,0.00301506978850111,0.00301506978850111,0,0.00266066666666667,0
123,1,1,0,1,0.0018024069696664,0.0018024069696664,0,0.00259666666666667,0
124,1,1,0,1,0.00107747784037763,0.00107747784037763,0,0.00251933333333333,0
125,1,1,0,1,0.000644115627626388,0.000644115627626388,0,0.00242066666666667,0
126,1,1,0,1,0.000385051948360374,0.000385051948360374,0,0.00227333333333333,0
127,1,1,0,1,0.000230183831251676,0.000230183831251676,0,0.002108,0
128,1,1,0,1,0.00013760376072714,0.00013760376072714,0,0.00199533333333333,0
129,1,1,0,1,8.22594482996043e-05,8.22594482996043e-05,0,0.00181266666666667,0
130,1,1,0,1,4.91746504514005e-05,4.91746504514005e-05,0,0.00168066666666667,0
131,1,1,0,1,2.93965774996458e-05,2.93965774996458e-05,0,0.00156533333333333,0
132,1,1,0,1,1.75732569679724e-05,1.75732569679724e-05,0,0.00142133333333333,0
133,1,1,0,1,1.05052828162092e-05,1.05052828162092e-05,0,0.00128533333333333,0
134,1,1,0,1,6.28005197042726e-06,6.28005197042726e-06,0,0.00118733333333333,0
135,1,1,0,1,3.75421142307704e-06,3.75421142307704e-06,0,0.00110133333333333,0
136,1,1,0,1,2.2442654098296e-06,2.2442654098296e-06,0,0.00101666666666667,0
137,1,1,0,1,1.34162055945943e-06,1.34162055945943e-06,0,0.000924,0
138,1,1,0,1,8.02019991789166e-07,8.02019991789166e-07,0,0.00082,0
139,1,1,0,1,4.79447085611648e-07,4.79447085611648e-07,0,0.000719333333333333,0
140,1,1,0,1,2.8661318951502e-07,2.8661318951502e-07,0,0.000641266666666667,0
141,1,1,0,1,1.71337198346246e-07,1.71337198346246e-07,0,0.000584133333333333,0
142,1,1,0,1,1.02425277729944e-07,1.02425277729944e-07,0,0.000540733333333333,0
143,1,1,0,1,6.12297715809241e-08,6.12297715809241e-08,0,0.000510066666666667,0
