date,treatment,tray,tube.1,tube.2,tube.3,tube.4,tube.5,tube.6,tube.7,tube.8,tube.9,tube.10,sum.cells
2015-05-11T00:00:00Z,Csb,9,0,0,1,1,0,3,2,2,4,3,16
2015-05-11T00:00:00Z,Csb,10,2,2,0,0,4,4,0,0,6,0,18
2015-05-14T00:00:00Z,Csb,1,0,2,0,5,0,0,0,0,0,4,11
2015-05-14T00:00:00Z,Csb,2,4,0,0,0,2,0,0,1,0,0,7
2015-05-14T00:00:00Z,Csb,3,0,0,1,4,2,2,0,1,0,0,10
2015-05-14T00:00:00Z,Csb,4,5,5,0,0,0,0,0,0,0,2,12
2015-05-14T00:00:00Z,Csb,5,1,0,6,4,6,1,0,1,3,0,22
2015-05-14T00:00:00Z,Csb,6,0,0,0,0,0,0,0,0,0,0,0
2015-05-14T00:00:00Z,Csb,7,0,2,0,1,2,0,6,3,4,0,18
2015-05-14T00:00:00Z,Csb,8,0,0,0,1,1,1,0,4,5,1,13
2015-05-14T00:00:00Z,Csb,9,2,3,3,5,3,1,3,0,0,0,20
2015-05-14T00:00:00Z,Csb,10,0,6,0,0,3,0,0,0,0,0,9
2015-05-17T00:00:00Z,Csb,1,3,3,4,0,0,0,0,0,0,0,10
2015-05-17T00:00:00Z,Csb,2,0,0,0,0,3,3,0,0,0,0,6
2015-05-17T00:00:00Z,Csb,3,0,0,0,0,1,0,0,0,0,0,1
2015-05-17T00:00:00Z,Csb,4,0,3,0,0,0,0,2,0,0,0,5
2015-05-17T00:00:00Z,Csb,5,0,0,0,1,0,0,0,2,0,0,3
2015-05-17T00:00:00Z,Csb,6,0,0,0,0,0,0,0,0,0,0,0
2015-05-17T00:00:00Z,Csb,7,0,1,0,0,2,0,0,3,2,0,8
2015-05-17T00:00:00Z,Csb,8,1,0,0,0,0,2,0,0,0,0,3
2015-05-17T00:00:00Z,Csb,9,0,0,0,0,3,0,3,0,0,0,6
2015-05-17T00:00:00Z,Csb,10,0,0,0,0,0,0,1,1,0,0,2
2015-05-20T00:00:00Z,Csb,1,2,1,1,0,0,0,0,0,0,0,4
2015-05-20T00:00:00Z,Csb,2,0,1,1,1,0,2,0,0,0,0,5
2015-05-20T00:00:00Z,Csb,3,0,0,0,0,0,0,0,1,0,0,1
2015-05-20T00:00:00Z,Csb,4,0,0,0,0,0,0,0,0,0,0,0
2015-05-20T00:00:00Z,Csb,5,0,0,0,0,0,0,0,1,1,0,2
2015-05-20T00:00:00Z,Csb,6,0,0,0,0,0,0,0,0,0,0,0
2015-05-20T00:00:00Z,Csb,7,0,0,0,0,2,2,0,2,1,0,7
2015-05-20T00:00:00Z,Csb,8,1,0,0,0,0,3,0,0,0,0,4
2015-05-20T00:00:00Z,Csb,9,0,0,0,0,1,0,0,0,0,0,1
2015-05-20T00:00:00Z,Csb,10,0,0,0,0,0,0,2,1,0,0,3
2015-05-23T00:00:00Z,Csb,1,1,0,0,2,0,0,0,0,1,0,4
2015-05-23T00:00:00Z,Csb,2,0,1,1,0,0,0,2,0,0,0,4
2015-05-23T00:00:00Z,Csb,3,0,0,0,0,0,0,0,0,0,0,0
2015-05-23T00:00:00Z,Csb,4,0,0,0,0,0,0,0,0,0,0,0
